"SongID","F0525","F1152","ORIGINAL-TEXTURE-Musical Layers (Mean)","F1166","F0133","F0136","F0507","ORIGINAL-TEXTURE-Musical Layers (Std)","F0404","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Mean)","F0945","F1151","F1497","F0529","ORIGINAL-TEXTURE-State Transitions ML1 -> ML0 (Per Sec)","F0151","F1194","F0121","F0927","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Std)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Higher Notes Coverage (C4+)","F0438","F1489","F0247","F0021","F0246","F1089","F0469","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Max)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Kurtosis)","F0772","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Kurtosis)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato to Non Vibrato Notes Ratio","F0909","F1071","F0466","F1077","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Min)","F0010","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Kurtosis)","F0437","F0013","F0526","VOICE-TEXTURE-State Transitions ML0 -> ML1 (Per Sec)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Std)","F0778","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Std)","F0109","F1550","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Kurtosis)","ORIGINAL-TEXTURE-Musical Layers (Max)","F1065","ORIGINAL-TEXTURE-ML1-Monophonic Texture (Percentage)","F0946","F1475","F0113","F0753","F1053","F0407","F1059","F0110","ORIGINAL-TEXTURE-State Transitions ML2 -> ML3 (Per Sec)","F0770","F1441","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Direction (Up)","F0958","F0911","F0406","F0917","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Skewness)","ORIGINAL-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Mean)","F0155","F0891","ORIGINAL-TEXTURE-State Transitions ML1 -> ML2 (Per Sec)","F1537","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Std)","F0116","F1483","F1096","F0776","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Min)","F1419","F1090","F1486","F1469","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Higher Notes Coverage (C4+)","F1455","ORIGINAL-VAT-Probability of Creaky Voice (Skewness)","F0897","F0251","F1574","F0011","F0905","F0899","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Std)","F0328","F1101","F0782","F0923","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Std)","Quadrant"
"MT0000004637",4.6433,9.2878,0.92722,700750,0.46626,3.1386,0.16951,0.74902,0.085051,5904.5,0.36748,12.783,1.6417,8.2928,2.2281,0.049422,3.2098,372.16,0.40212,13.1,0.62015,0.77348,0.13532,0.080221,1.4046,0.36769,5.8911,0.27903,6473.5,1.2087,0.056104,2.1851,0.21622,0.36906,4.5599,0.048619,4.9963,4114.7,258.55,2.1493,5.7197,2879.1,1.3886,1.5637,1.3199,0.050642,288.5,0.13074,0.19755,1.6419,4,4.1335,0.53436,0.20462,0.063452,0.18587,0.19374,3.9156,1.2319,4.0265,0.45841,0.26605,0.31584,0.68148,0.85714,0.19168,0.41404,5.4915,0.40083,0.90069,0.26256,0.63757,0.44898,1.164,0.0046555,107.69,1.8191,2.0543,2.8854,0.4591,5269.1,0.16746,2.5945,0.89373,-0.73575,0.37919,0.21796,0.52265,0.38941,0.17629,0.42304,4.1456,0.32337,0.47764,0.074137,0.70133,5.8488,0.57884,0.2881,1044.4,"Q3"
"MT0000011357",1.5461,29.366,0.98409,1817800,0.3293,1.7539,0.30058,0.70333,0.084305,6068.1,0.55448,17.98,-0.23165,6.0778,0.71949,0.026731,0.95554,524.46,0.53967,0,0.50725,0.75688,0.059518,0.027672,2.6539,0.46103,3.9097,0.35734,6795.7,0,0.038764,0,0,0.56446,3.5,0.06023,3.6008,0,101.52,0,5.6274,671.92,1.1889,1.0625,0,0.053292,0,0.072273,0.21012,0,3,3.2829,0.56126,0.12589,0.1815,0.30078,0.22185,2.9179,0.82851,3.0666,-0.37482,0.20557,0.40964,-1.3393,1,0.15402,-0.31844,2.7583,-0.29884,0,0.17581,0.66724,0.64469,1.1991,0.011361,0,1.1752,2.5494,1.4641,0.55485,5490,0.22012,1.2452,0.72921,-2.2415,0,-1.0529,-1.2054,0.62939,0.30109,-1.0233,0.86509,-0.4802,-0.44169,0,0.43577,5.5128,0.65528,-0.26923,0,"Q2"
"MT0000011975",2.1486,40.437,1.0521,1277900,0.33701,2.247,0.16411,0.72762,0.10638,6817.1,0.52745,36.554,-0.5837,5.3301,0.43233,0.037649,3.372,453.09,0.5251,0,0.46877,0.4822,0.080794,0.041539,3.8793,0.44022,4.3406,0.21649,7608.7,0,0.037498,0,0,0.56573,3.7874,0.04962,3.7767,0,89.122,0,4.7302,1259.6,0.9132,1.098,0,0.038499,0,0.0825,0.15356,0,3,3.6172,0.55772,0.1308,0.16814,0.27766,0.18374,2.9627,0.78292,3.1774,-0.2434,0.39907,0.39894,-1.5438,0,0.11863,-0.18585,2.0722,-0.1753,0,0.20152,0.72798,0.59445,1.297,0.014626,0,0.073246,1.8916,1.6937,0.54431,5709.9,0.1385,1.6766,1.0195,-2.7535,0,-1.2723,-0.77295,0.59557,0.32756,-1.1432,4.2906,-0.2206,-0.27754,0,0.44737,4.7568,0.68354,-0.095701,0,"Q2"
"MT0000040632",4.6632,25.739,2.6838,600090,0.65021,3.9683,0.075348,1.1579,0.085314,4703.1,0.39224,27.271,0.9665,7.9619,0.2993,0.060652,7.2296,689.66,0.38871,14.471,0.18579,0.65561,0.25845,0.034824,3.779,0.45213,5.7171,0.22671,5913.3,1,0.057051,1,0.045455,0.45324,4.6687,0.064788,4.9557,5112.1,138.27,1,5.1757,1926.7,1.1656,1.5305,0.83269,0.052468,65.829,0.11276,0.26005,1,6,4.2192,0.14015,0.18895,0.087247,0.1143,0.13607,3.6446,1.0854,4.1412,0.32608,2.7602,0.33494,-0.59259,0.5,0.1736,-0.020079,2.9488,0.12965,0,0.44664,0.63122,0.54761,1.3302,0.0052579,50.788,0.95019,1.5485,3.0242,0.47279,3114,0.18761,2.6223,2.0184,-1.928,1,-0.18092,-1.5677,0.53123,0.31566,-0.8465,5.2102,-0.10119,-0.10105,0.038622,0.65352,6.1356,0.64734,0.03194,937.15,"Q1"
"MT0000044741",3.5518,24.134,1.8191,1186400,0.38171,2.4845,0.18646,0.89834,0.10498,4951,0.39926,25.174,1.5166,7.1379,0.76489,0.042909,3.3445,472.8,0.37901,10.487,0.33045,0.6001,0.15471,0.084186,1.7725,0.3518,5.8095,0.25899,5664.4,1.4386,0.057666,1.4909,0.2,0.36633,4.9054,0.059672,4.7665,4672.5,146.23,1.8644,5.3523,1677.5,1.0076,0.86505,0.94817,0.043133,263.23,0.092768,0.26254,1.4059,5,4.793,0.3639,0.18128,0.096529,0.20381,0.19453,3.7445,0.84519,4.1356,0.073919,1.297,0.31424,0.38978,0.14286,0.15517,0.37235,3.4329,0.45378,0.47151,0.46367,0.6554,0.49344,1.9954,0.0023601,227.07,1.5208,1.906,2.7785,0.47189,4126.1,0.15337,2.5436,1.5626,-0.66479,0.33462,-0.52518,-0.36956,0.45172,0.20337,-0.36764,3.6752,0.051116,-0.039488,0.09964,0.77563,5.7044,0.66908,0.46226,1162.1,"Q3"
"MT0000054705",6.6627,3.631,2.6127,120850,1.0196,6.4993,0.059273,1.1185,0.069544,3971.5,0.46313,4.1927,3.1306,11.065,0.33256,0.075434,9.0934,550.28,0.37382,8.6786,0,0.9003,0.37197,0.053674,2.1069,0.3623,5.2434,0.44572,4799,1.9163,0.079109,1.7213,0.10448,0.40326,5.3432,0.094211,5.2094,5508.1,184.27,1.6717,6.0558,2500.4,1.6023,1.6303,0.60544,0.079443,736.38,0.099637,0.29207,2.0562,6,4.3382,0.14189,0.1755,0.066212,0.042178,0.13004,3.9207,1.4541,4.0764,1.4919,3.4254,0.27853,0.30364,0.6,0.11827,0.028386,3.7322,0.10221,0.52215,0.22567,0.50053,0.46053,1.9954,0.002005,46.722,1.8408,1.1469,3.4122,0.34516,3352.1,0.17726,2.8201,2.6808,-0.22502,1,0.60191,0.051048,0.43663,0.22776,-0.56055,5.3625,0.042052,0.15611,0.042933,0.67928,4.5339,0.50648,0.1586,497.41,"Q4"
"MT0000082187",3.3087,27.277,2.3647,1790000,0.45454,2.6096,0.26156,1.1188,0.15547,5022,0.36799,28.003,0.61977,6.4754,0.53209,0.041657,2.7019,764.5,0.38024,3.6059,0.36531,0.52896,0.11368,0.041933,2.6754,0.42707,5.715,0.28753,5612.1,1.5,0.048268,1.5,0.056604,0.44697,4.7534,0.065124,5.1846,4707.8,127.31,1.5,4.6791,1234.4,0.96133,1.3974,1.0094,0.043041,304.94,0.10229,0.18846,1.5,5,4.1824,0.19865,0.16714,0.10464,0.21066,0.18516,3.5236,0.8426,3.734,0.13091,1.5963,0.32851,-0.88717,0.30769,0.18116,0.060537,2.8367,0.13838,-0.66547,0.37574,0.69924,0.46112,1.5298,0.012167,77.424,0.81497,1.5113,2.6794,0.50729,4381.8,0.18912,2.2349,1.0058,-1.6146,0.71875,-0.66194,-0.5528,0.49183,0.29287,-1.2458,2.884,-0.093319,-0.079799,0.10126,0.90359,8.0902,0.72524,0.37976,564.52,"Q1"
"MT0000088320",3.6425,31.266,1.7166,1381600,0.40413,2.5145,0.21458,0.96231,0.1299,5000,0.52477,30.36,0.61395,7.066,0.39907,0.036858,3.3293,593.64,0.49047,6.5244,0.29844,0.69956,0.091591,0.021219,2.6754,0.46726,4.1095,0.33055,6583.5,1,0.045009,1,0.060606,0.50272,3.8109,0.072316,3.7629,4710.4,91.975,1,4.5204,924.34,1.1085,0.63215,0.47582,0.039283,428.78,0.093548,0.2035,1,6,3.4019,0.34189,0.1344,0.11954,0.25469,0.18039,3.1599,0.88445,3.1775,0.43037,1.3967,0.37888,-1.3614,1,0.13209,-0.030773,2.1505,0.051511,0,0.33524,0.72725,0.58519,1.6961,0.011397,0,1.7165,1.8055,1.4721,0.52636,4111.4,0.16594,1.3366,0.98384,-2.4321,0.4058,-0.52023,-0.80544,0.55494,0.37433,-1.5276,1.8042,-0.20709,-0.12831,0,0.59722,4.9357,0.66988,-0.11732,0,"Q3"
"MT0000092267",2.4379,25.538,1.1855,1437200,1.0373,7.1571,0.38907,0.84417,0.33283,6136.6,0.37228,25.07,1.4813,7.7859,1.3302,0.11686,3.3905,1226.8,0.41234,20.14,0.57317,0.75368,0.25661,0.060461,2.2406,0.40622,5.8071,0.39261,6906.2,1.8343,0.07713,2.2194,0.097561,0.43015,4.4253,0.061969,4.6873,5028.3,275.53,1.605,6.3155,3238.5,1.7713,1.8965,0.63505,0.074517,294.61,0.20238,0.27877,1.905,5,4.6144,0.49305,0.20227,0.092272,0.031317,0.18209,3.454,1.5659,4.0254,-0.29958,0.53209,0.29739,-0.37083,0.53333,0.18949,0.1459,5.9002,0.3847,-0.46733,0.36997,0.35946,0.47102,2.1284,0.0028368,98.62,1.8321,2.6582,2.7702,0.43912,5140.7,0.37299,2.7061,3.1429,-0.013616,0.57993,-0.60781,-0.42468,0.43215,0.2024,-0.33556,3.8016,0.13999,0.14664,0.06715,0.71658,6.649,0.6186,0.4001,1630.8,"Q4"
"MT0000133200",1.7812,36.371,1.3137,1613000,0.30004,2.1902,0.21467,0.92081,0.10191,5674.5,0.54527,35.502,-0.62181,4.3951,0.46558,0.03955,2.9386,536.01,0.50983,5.8261,0.3128,0.55794,0.074575,0.02263,3.2774,0.45504,4.0097,0.19449,6999.5,1.5,0.035931,1.5,0.12,0.53591,3.849,0.072156,3.7541,4999.5,67.985,1.5,4.9144,495.79,0.89233,1.0647,0.16823,0.038538,289.71,0.080338,0.25226,1.5,4,3.7121,0.37375,0.12103,0.13003,0.23484,0.20076,3.1176,0.67261,3.4389,-0.094836,0.89791,0.43126,-1.8817,0,0.1137,-0.20103,2.0544,-0.099403,0.61842,0.37587,0.61753,0.60533,1.5298,0.0041194,436.99,0.71157,1.3202,1.2573,0.57578,4371.4,0.15998,1.336,1.042,-1.8681,0.52802,-1.8744,-1.7648,0.58713,0.36784,-1.2142,0.86567,-0.23393,-0.22532,0.098514,0.55036,4.587,0.71271,-0.18129,1930.3,"Q2"
